ICRISAT accession identifier,Plant height (cm),Plant width (cm),Plant pigmentation,Growth habit,Basal primary branches number,Apical primary branches number,Basal secondary branches number,Apical secondary branches number,Tertiary branches number,Days to flowering,Flowering duration,Flower color,Days to maturity,Pods per plant,Seeds per pod,Seed yield (Kg/ha),Seed color,Dots on seed coat,Seed shape,Seed surface,100 Seed weight (g),Protein (%),Wilt,Ascochyta blight,Colletotrichum blight,Botrytis grey mold,Pod borer,Year of Characterization,Temperature,Humidity,Rainfall
9591,37,29,Low anthocyanin,Semi-erect,3.3,1,2,6,2.3,50,50,Pink,104,43,1.4,2040,Yellow,Present,Angular,Rough,16,16.8,Moderately resistant,NULL,Susceptible,NULL,NULL,NULL,NULL,NULL,NULL
9592,45,46,Low anthocyanin,Semi-spreading,2.3,NULL,1.7,2,0.3,50,NULL,Pink,109,58,1.1,1730,Black,Absent,Angular,Rough,10,18.1,Susceptible,NULL,Susceptible,NULL,NULL,NULL,NULL,NULL,NULL
9593,51,39.3,No anthocyanin,Semi-erect,2.7,0.7,3.7,8.7,2.7,83,20,White,130,30,1.1,760,Beige,Absent,Owl's head,Smooth,32,20.8,Susceptible,NULL,Susceptible,NULL,NULL,NULL,NULL,NULL,NULL
9594,39,47,Low anthocyanin,Semi-spreading,3,2.3,3,1.7,1,61,38,Pink,122,70,1.3,2200,Yellow,Present,Angular,Rough,12,24.3,Susceptible,NULL,Susceptible,NULL,NULL,NULL,39.5,72.8,886.5
9595,32,27,Low anthocyanin,Semi-erect,1.7,2,2.3,2.7,1.7,75,27,Pink,116,16,1.2,1020,Yellow,Present,Angular,Rough,11,19.3,Susceptible,NULL,Susceptible,NULL,NULL,NULL,NULL,NULL,NULL
9596,32,31,Low anthocyanin,Semi-erect,2.3,3.7,1.7,2,2.3,68,26,Pink,113,23,1.3,1620,Yellow,Present,Angular,Rough,12,19.3,Susceptible,NULL,Susceptible,NULL,NULL,NULL,40.9,74.8,923.4
9597,25,28.7,Low anthocyanin,Semi-erect,3.3,0.3,3,1,NULL,59,29,Pink,133,27,1.1,700,Yellow brown,Present,Angular,Rough,12,19.4,Susceptible,NULL,Susceptible,NULL,NULL,NULL,40.9,74.8,923.4
9598,36,32.7,No anthocyanin,Semi-erect,2.7,NULL,4.3,7,1,75,32,Light pink,122,23,1,1180,Brownish beige,Absent,Angular,Rough,17,21.1,Susceptible,NULL,Susceptible,NULL,NULL,NULL,43.5,78.7,935.6
9599,28,25.3,Low anthocyanin,Semi-erect,2.7,0.7,4.7,4,2,64,19,Pink,110,36,1.1,1690,Yellow,Present,Angular,Rough,11,19.1,Susceptible,NULL,Susceptible,NULL,NULL,NULL,38,70.6,980.4
9600,28,26,Low anthocyanin,Semi-erect,2.3,0.7,5.3,2.7,4.3,64,21,Pink,110,52,1.3,1440,Yellow,Present,Angular,Rough,11,19.3,Susceptible,NULL,Susceptible,NULL,NULL,NULL,36.4,68.1,896.4
9601,34,42,Low anthocyanin,Semi-spreading,3,3,4,3,2,64,20,Pink,109,57,1.2,2070,Yellow brown,Present,Angular,Rough,11,19.3,Susceptible,NULL,Susceptible,NULL,NULL,NULL,38.3,71,918.1
9602,39,29,No anthocyanin,Semi-erect,2.3,NULL,3,5.7,1.7,67,41,Light pink,120,33,1,1730,Brownish beige,Absent,Angular,Rough,18,18,Susceptible,NULL,Susceptible,NULL,NULL,NULL,NULL,NULL,NULL
9603,42,24.7,No anthocyanin,Semi-erect,2.3,0.3,4.3,2,9.7,69,36,Light pink,133,53,1,1400,Brownish beige,Absent,Angular,Rough,19,24.5,Susceptible,NULL,Susceptible,NULL,NULL,NULL,37.7,70,1063.3
9604,41,29.3,Low anthocyanin,Semi-erect,2.7,0.7,2.7,1.7,8,75,32,Pink,130,34,1.3,960,Light brown,Present,Angular,Rough,15,24.4,Susceptible,NULL,Susceptible,NULL,NULL,NULL,37.7,70,1063.3
9605,40,42,No anthocyanin,Semi-erect,3,NULL,3,1.3,0.7,81,31,Light pink,116,15,1.1,710,Yellow brown,Absent,Angular,Rough,22,18.1,Susceptible,NULL,Susceptible,NULL,NULL,Charcterization 2018-19; DOS:11 Oct 2018,37.7,70,1063.3
9606,38,28,No anthocyanin,Semi-erect,2,0.7,4.7,2.3,1.3,43,63,Light pink,149,24,1.3,700,Brownish beige,Absent,Angular,Rough,23,18.7,Susceptible,NULL,Susceptible,NULL,NULL,NULL,NULL,NULL,NULL
9607,35,35.3,No anthocyanin,Semi-erect,2.7,1.3,2,3.7,2.7,54,34,Light pink,110,25,1.3,530,Brownish beige,Absent,Angular,Rough,16,26,Susceptible,NULL,Susceptible,NULL,NULL,NULL,NULL,NULL,NULL
9608,31,32,No anthocyanin,Semi-erect,2.3,2.3,2,3.3,3.7,50,37,Light pink,110,30,1.1,930,Brownish beige,Absent,Angular,Rough,17,NULL,Resistant,NULL,Susceptible,NULL,NULL,NULL,37,68.9,1076.3
9609,38,27.3,No anthocyanin,Semi-erect,3,0.7,1.7,5,2,70,34,Light pink,138,39,1.2,1110,Brownish beige,Absent,Angular,Rough,15,22.5,Susceptible,NULL,Susceptible,NULL,NULL,NULL,37.7,70,1063.3
9610,35,35,No anthocyanin,Semi-erect,2.7,1,1,4.3,2.3,52,36,Light pink,114,27,1.4,670,Brownish beige,Absent,Angular,Rough,15,NULL,Susceptible,NULL,Susceptible,NULL,NULL,NULL,39.4,72.5,1065.1
9611,33,32,No anthocyanin,Semi-erect,4.7,3,1.3,5.3,1,50,37,Light pink,112,26,1.2,730,Brownish beige,Absent,Angular,Rough,17,25.2,Susceptible,NULL,Susceptible,NULL,NULL,NULL,37.7,70,1063.3
9612,41,35.3,No anthocyanin,Semi-erect,2.3,4.3,2,2.3,2.3,74,37,Light pink,136,37,1.2,960,Brownish beige,Absent,Angular,Rough,16,23.2,Susceptible,NULL,Susceptible,NULL,NULL,NULL,37.7,70,1063.3
9613,57,47.4,No anthocyanin,Semi-erect,3.2,0.4,3.4,5.2,NULL,57,37,Light pink,109,39,1.1,1040,Brownish beige,Absent,Angular,Rough,16,22.4,Susceptible,NULL,Susceptible,NULL,NULL,NULL,38.3,70.9,1059.6
9614,38,32.7,No anthocyanin,Semi-erect,1.3,3,1,3.7,1.3,50,35,Light pink,112,21,2.2,1370,Brownish beige,Absent,Angular,Rough,16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,37.7,70,1063.3
9615,39,34.7,No anthocyanin,Semi-erect,2.3,0.3,4.3,3,3,59,55,Light pink,156,51,1.2,970,Brownish beige,Absent,Angular,Rough,15,20.6,Susceptible,NULL,Susceptible,NULL,NULL,NULL,38.3,70.9,1059.6
9616,41,43,No anthocyanin,Semi-spreading,3,6.3,5,8.3,11.7,63,30,Light pink,112,100,1,1470,Yellow brown,Absent,Angular,Rough,14,21.6,Susceptible,NULL,Susceptible,NULL,NULL,NULL,38.3,70.9,1059.6
9617,34,29.7,No anthocyanin,Semi-erect,2,1.3,4,4,3.7,54,58,Light pink,153,38,1.1,730,Brownish beige,Absent,Angular,Rough,14,19.7,Susceptible,NULL,Susceptible,NULL,NULL,NULL,40.2,73.8,1011.3
9618,35,36.3,No anthocyanin,Semi-erect,2,1.3,4.3,3.3,3.3,61,54,Light pink,156,56,1.3,700,Brownish beige,Absent,Angular,Rough,14,18.1,Susceptible,NULL,Susceptible,NULL,NULL,NULL,38,70.5,1060.1
9619,44,32.3,No anthocyanin,Semi-erect,2,0.7,4.7,2.3,2.7,61,52,Light pink,156,30,1.2,900,Brownish beige,Absent,Angular,Rough,15,20.3,Susceptible,NULL,Susceptible,NULL,NULL,NULL,37.7,70,1063.3
